artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Untitled,Clyfford Still,American,1904,1980,1946,Oil on canvas,62 X 44 5/8,Paintings,"George A. Hearn Fund and Arthur Hoppock Hearn Fund, 1977"
Pushing for Rail,Thomas Eakins,American,1844,1916,1874,Oil on canvas,13 x 30 1/16 in. (33 x 76.4 cm),Paintings,"Arthur Hoppock Hearn Fund, 1916"
Look (Sebasti璋﹏),Enrique Martinez Celaya,,1964,,2003,"Tar, oil, watercolor, graphite, cut and pasted paper on Japanese paper",28 1/8 x 27 in. (71.4 x 68.6 cm),Drawings,"Gift of Dieter and Si Rosenkranz, 2003"
The Mime,Man Ray,American,1890,1976,1916,Oil on Masonite,24 1/4 x 18 1/8in. (61.6 x 46cm) 28 1/2 x 22 1/2 x 1 1/4 in. (72.4 x 57.2 x 3.2 cm) (Frame),Paintings,"Gift of Everett B. Birch, 1982"
The Bull Ring,Rico Lebrun,,1900,1964,1943,Oil and tempera on canvas,"H. 48, W. 57-7/8 inches (121.9 x 147 cm.)",Paintings,"George A. Hearn Fund, 1944"
"The Hudson River Valley near Hudson, New York",American Painter,,,,1850?,Oil on canvas,19 x 22 1/8 in. (48.3 x 56.2 cm),Paintings,"Robert Lehman Collection, 1975"
Mrs. Gideon Tucker,William Sidney Mount,American,1807,1868,1830,Oil on canvas,34 1/8 x 27 in. (86.7 x 68.6 cm),Paintings,"Bequest of Helen L. Tucker, 1949"
Her World,Philip Evergood,American,1901,1973,1948,Oil on canvas,"H. 48, W. 35-5/8 inches (121.9 x 90.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
Fur Traders Descending the Missouri,George Caleb Bingham,American,1811,1879,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Morris K. Jesup Fund, 1933"
Man in a Green Coat,Gilbert Stuart,American,1755,1828,1785,Oil on canvas,28 1/2 x 23 1/2 in. (72.3 x 59.7 cm),Paintings,"Bequest of Mary Stillman Harkness, 1950"
Design for carp window,Louis Comfort Tiffany,American,1848,1933,1900,"Watercolor, gouache, and graphite on buff-colored wove paper",8 11/16 x 10 15/16 in. (22.1 x 27.8 cm) Other (Design): 4 3/8 x 5 7/8 in. (11.1 x 15 cm) Other (mat/mount size): 14 1/4 x 19 1/4 in. (36.2 x 48.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
The Gulf Stream,Winslow Homer,American,1836,1910,1899,Oil on canvas,28 1/8 x 49 1/8 in. (71.4 x 124.8 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906"
"Off Cape Split, Maine",John Marin,American,1870,1953,1938,Oil on canvas,"H. 22-1/8, W. 28-1/8 inches (56.2 x 71.4 cm.)",Paintings,"George A. Hearn Fund, 1946"
Untitled,Willem de Kooning,,1904,1997,1949?,Oil and enamel on paper,24 1/8 x 20 1/2in. (61.3 x 52.1cm) (irregular),Drawings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"The Green Lacquer Room, Museo Correr, Venice",Walter Gay,American,1856,1937,1922,Oil on canvas,21 1/2 x 18 1/4 in. (54.6 x 46.4 cm),Paintings,"Bequest of Anne D. Thomson, 1923"
The Ameya,Robert Frederick Blum,American,1857,1903,by1893,Oil on canvas,25 1/16 x 31 1/16 in. (63.7 x 78.9 cm),Paintings,"Gift of Estate of Alfred Corning Clark, 1904"
"Chancel of Trinity Chapel, New York",John William Hill,,1812,1879,1856,"Watercolor, gouache, black ink, graphite, and gum arabic on off-white wove paper",18 3/8 x 14 1/4 in. (46.7 x 36.2 cm),Drawings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Landscape,Albert Pinkham Ryder,American,1847,1917,1898?,Oil on canvas,9 1/2 x 14 in. (24.1 x 35.6 cm),Paintings,"Gift of Frederick Kuhne, 1952"
Untitled # 9,Agnes Martin,,1912,2004,1984,"Acrylic, India ink, and graphite on canvas","H. 72, W. 72 inches (162.9 x 162.9 cm.)",Paintings,"Gift of American Art Foundation, 1984"
Solitary,Adolph Gottlieb,American,1903,1974,1957,Oil on canvas,"H. 59-1/4, W. 41-1/2 inches (150.5 x 105.4 cm.)",Paintings,"Gift of Mrs. Iola S. Haverstick, 1981"
Portrait of the Daughter(?) of Emilius Nicolai Scherr,Date: ca. 1863 Geography: United States Medium: Watercolor,,1863,1983,,,,,
"Lake Maggiore, May 11,1869: Village and Landscape (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Portrait of a Gentleman,Samuel Broadbent Jr.,American,1810,1880,1838,Watercolor on ivory in gilded copper foliate locket; hair reserve verso,2 7/16 x 2 in. (6.2 x 5 cm),Paintings,"Fletcher Fund, 2006"
Flowers of the Field,F. Luis Mora,,1874,1940,1913,Oil on canvas,40 x 36 in. (101.6 x 91.4 cm),Paintings,"Gift of Mr. and Mrs. Walter C. Crawford, 1967"
Walker Evans,Dorothy Eisner,American,1906,1984,1944,Oil and encaustic on Masonite,"H. 25-1/2, W.31-1/4 inches (64.1 x 79.4 cm.)",Paintings,"Gift of John McDonald, 1988"
Self-Portrait - Night,Karl Schrag,,1912,1995,1980,Oil on canvas,"H. 50, W. 40 inches (127 x 101.6 cm.)",Paintings,"Gift of Henry and Margo Samton, 1982"
Maine Coast,Winslow Homer,American,1836,1910,1896,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of George A. Hearn, in memory of Arthur Hoppock Hearn, 1911"
Astarte,John Singer Sargent,American,1856,1925,1895,Oil on canvas,38 5/8 x 12 in. (98.1 x 30.5 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
For Tony's Jane,Robert Swain,American,1940,,1979,Acrylic on canvas,"H. 108, W. 108 inches (274.3 x 274.3 cm.)",Paintings,"Edith C. Blum Fund, 1982"
Two Boys,Frank W. Benson,American,1862,1951,1926,Oil on canvas,32 3/16 x 40 1/8 in. (81.8 x 101.9 cm),Paintings,"George A. Hearn Fund, 1927"
Design for chandelier,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Colored wax crayon, gouache highlights, and graphite on tissue paper mounted on board.",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 15 1/4 x 10 7/8 in. (38.7 x 27.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Untitled,Melissa Meyer,American,1947,,1986,Oil on paper,"H. 29-3/4, W. 22-1/4 inches (76.2 x 55.9 cm.)",Drawings,"Gift of Mr. and Mrs. Charles A Krasne, 1987"
General Winfield Scott,Robert Walter Weir,American,1803,1889,1855?,Oil on canvas,33 3/4 x 26 7/8 in. (85.7 x 68.3 cm),Paintings,"Gift of the heirs of William B. Isham, 1910"
Ernesta (Child with Nurse),Cecilia Beaux,American,1855,1942,1894,Oil on canvas,50 1/2 x 38 1/8 in. (128.3 x 96.8 cm),Paintings,"Maria DeWitt Jesup Fund, 1965"
Raspberries and Goldfish,Janet Fish,American,1938,,1981,Oil on linen with acrylic gesso ground,"H. 72, W. 64 inches (182.9 x 162.6 cm.)",Paintings,"Purchase, The Cape Branch Foundation and Lila Acheson Wallace Gifts, 1983"
Portrait of a Man,Samuel John Stump,American,1778,1863,1825?,Ivory,"Oval, 2 5/8 x 2 1/4 in. (68 x 56 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962"
Design for a window,Louis Comfort Tiffany,American,1848,1933,1905?,"Watercolor, gouache, and graphite on off-white wove paper",Overall: 18 1/8 x 10 1/8 in. (46 x 25.7 cm) Other (Design): 17 5/8 x 9 5/8 in. (44.7 x 24.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Diner,John Dubrow,American,1958,,1984,Oil on canvas,"H. 70-1/2, W. 84 inches (179.1 x 213.4 cm.)",Paintings,"The Metropolitan Museum of Art, New York Gift of Martin and Anne Peretz, 1992"
Angel Appearing to Three Marys at the Tomb,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, graphite, and black ink on artist board",Overall: 21 15/16 x 14 5/8 in. (55.7 x 37.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
From My Studio Window,John Kane,,1860,1934,1932,Oil on canvas,22 3/8 x 34 3/8 in. (56.8 x 87.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Henry La Tourette de Groot,Samuel Lovett Waldo,,1783,1861,1830,Oil on wood,33 x 25 5/8 in. (83.8 x 65.1 cm),Paintings,"Bequest of Mrs. Thomas Hastings, 1936"
"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",John Singer Sargent,American,1856,1925,1899,Oil on canvas,115 x 84 1/8 in. (292.1 x 213.7 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1927"
Portrait of a Lady,John Carlin,American,1813,1891,1850?,Watercolor on ivory,1 5/8 x 1 1/4 in. (4.1 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006"
Album,James McNeill Whistler,American,1834,1903,1855,"Drawings in pen and ink, graphite, gouache, and black chalk on off-white and toned wove and laid paper; cover missing",Various sized sheets,Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970"
In the Deep Woods,Charles Shepard Chapman,American,1879,1962,1917,Oil on canvas,"H. 60-1/4, W. 36 inches (152.4 x 91.4 cm.)",Paintings,"George A. Hearn Fund, 1917"
Seabirds,William Thon,American,1906,2000,1953,Oil on canvas,"H. 20-3/8, W. 44-3/8 inches (51.7 x 112.7 cm.)",Paintings,"Gift of Mr. and Mrs. Morris W. Haft, 1954"
"Coast Guard Station, Two Lights, Maine",Edward Hopper,American,1882,1967,1927,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-7/8 inches (35.2 x 50.5 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973"
Children with Goat,John Carlin,American,1813,1891,1857?,Oil on canvas,18 1/8 x 24 1/8 in. (46 x 61.3 cm),Paintings,"Gift of the Carlin family, 2009"
The Knapp Children,Samuel Lovett Waldo,,1783,1861,1834,Oil on canvas,70 x 57 1/2 in. (177.8 x 146.1 cm),Paintings,"Gift of Mrs. John Knapp Hollins, in memory of her husband, 1959"
The Flying Box,John Hultberg,American,1922,2005,1954,Oil on canvas,"H. 39-1/2, W. 65 inches (100.4 x 165.1 cm.)",Paintings,"George A. Hearn Fund, 1955"
Girl at Sewing Machine,Moses Soyer,,1899,1974,1940,Oil on canvas,"H. 16-1/4, W. 20-1/2 inches (41.3 x 52.1 cm.)",Paintings,"Gift of The Educational Alliance, 1941"
Dual Self-Portrait,Jim Torok,American,1954,,202,Oil on archival polymer,"2 panels, each 5 x 4 x 1.5  together, 5 x8 x 1.5",Paintings,"Gift of the American Academy of Arts and Letters, New York; Hassam, Speicher, Betts and Symons Funds, 2002"
The Celebration of the Mass,Harry W. Watrous,American,1857,1940,1935,Oil on canvas,40 x 36 in. (101.6 x 91.4 cm),Paintings,"Gift of the artist, 1935"
"Study for ""The Assault""",Domenic Cretara,American,1946,,1986,Oil on canvas,"H. 28, W. 28 inches (71.1 x 71.1 cm.)",Paintings,"Gift of Tama and David Segal, 1988"
Red Goat,John Alexander,American,1945,,1983,Oil on canvas,"H. 74, W. 84 inches (188 x 213.4 cm.)",Paintings,"Purchase, Anonymous Gift, 1983"
Untitled,Sean Scully,American,1945,,1983,Oil pastel and graphite on paper,"H. 22-3/8, W. 30 inches (56.8 x 76.2 cm.)",Drawings,"Gift of Robert L. and Ann Freedman, 1996"
Portrait of a Man,Formerly attributed to Thomas Hicks,American,1823,1890,1850?,Oil on canvas,26 1/2 x 19 3/4 in. (66.5 x 49 cm),Paintings,"Gift of The Chester Dale Collection, 1955"
Elegy Number 12 (After MH's Iron Cross),Anthony Viti,American,1961,,1992,Oil on Masonite,"H. 11, W. 11 inches (27.9 x 27.9 cm.)",Paintings,"George A. Hearn Fund, 1993"
Undulation Series,Richard Pousette-Dart,American,1916,1992,1944,"Gouache, watercolor, and ink on paper","H. 23, W. 31-1/2 inches (58.4 x 80 cm.)",Drawings,"Anonymous Gift, 1991"
"From the Faraway, Nearby",Georgia O'Keeffe,American,1887,1986,1937,Oil on canvas,36 x 40 1/8 in. (91.4 x 101.9 cm),Paintings,"Alfred Stieglitz Collection, 1959"
Untitled Grey Number 11,Lydia Dona,American,1955,,1987,"Oil, enamel acrylic on canvas","H. 72, W. 96 inches (182.9 x 243.8 cm.)",Paintings,"Gift of Phyllis A. Goldman, 1988"
The Student,Thomas Sully,American,1783,1872,1839,Oil on canvas,23 1/2 x 19 1/2 in. (59.7 x 49.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914"
Daniel Crommelin Verplanck,John Singleton Copley,American,1738,1815,1771,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),Paintings,"Gift of Bayard Verplanck, 1949"
Untitled,Giorgio Cavallon,,1904,1989,1961,Oil on canvas,"H. 56, W. 48 inches (142.2 x 121.9 cm.)",Paintings,"Gift of Lari Stanton, 1986"
Musidora,Thomas Sully,American,1783,1872,1835,Oil on wood,28 1/8 x 22 1/2 in. (71.4 x 57.2 cm),Paintings,"Gift of Louis Allston Gillet, in memory of his uncles, Sully Gillet and Lorenzo M. Gillet, 1921"
Martha Washington,James Peale,American,1749,1831,1782,Watercolor on ivory,1 1/2 x 1 in. (3.8 x 2.5 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006"
Goat,Arthur Dove,American,1880,1946,1935,"Oil on canvas, with selective varnish",23 x 31 in. (58.4 x 78.7 cm),Paintings,"Alfred Stieglitz Collection, 1949"
Fairfield Osborn,John Carroll,American,1892,1959,,Oil on canvas,"H. 40, W. 32-1/2 inches (101.6 x 82.6 cm.)",Paintings,"Gift of Mrs. Loretta H. Howard, 1959"
Still Life with Two Figures,Sam Messer,American,1955,,1984,Oil on canvas,"H. 34-1/4, W. 34-1/4 inches (87 x 87 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1985"
The Greatest Show on Earth,Paul Marcus,American,1953,,1987,Oil on etched wood,"H. 72, W. 96 inches (183.9 x 243.8 cm.)",Paintings,"The Metropolitan Museum of Art, New York George A. Hearn Fund, 1988"
Key of Agenor III,Jules Olitski,,1922,2007,1981,Oil base enamel on paper,"H. 31, W. 23 inches (78.7 x 58.4 cm.)",Drawings,"George A. Hearn Fund, 1983"
Rushing Water,John Singer Sargent,American,1856,1925,198,"Watercolor, gouache, and graphite on white wove paper",14 x 9 15/16 in. (35.6 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
"William M. Chase, N. A.",John Singer Sargent,American,1856,1925,1902,Oil on canvas,62 1/2 x 41 3/8 in. (158.8 x 105.1 cm),Paintings,"Gift of the Pupils of Mr. Chase, 1905"
My Father's Sketch Pad,Melissa Meyer,American,1947,,1987,Oil on canvas,"H. 66, W. 80 inches (167.6 x 203.2 cm.)",Paintings,"Gift of Mr. and Mrs. Charles A Krasne, 1987"
The Flatiron Building,Samuel Halpert,American,1884,1930,1919,Oil on canvas,"H. 40, W. 34 inches (101.6 x 86.4 cm.)",Paintings,"Gift of Dr. and Mrs. Wesley Halpert, 1981"
On Point,Arthur Fitzwilliam Tait,,1819,1905,1874,Oil on wood,10 x 13 3/4 in. (25.4 x 34.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979"
Mr. and Mrs. Anson Phelps Stokes,Cecilia Beaux,American,1855,1942,1898?,Oil on canvas,72 1/16 x 39 7/8 in. (183 x 101.3 cm),Paintings,"Gift of the family of the Rev. and Mrs. Anson Phelps Stokes, 1965"
The Dog Killer,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Interior,Samuel Halpert,American,1884,1930,1917?,Oil on canvas,"H. 20, W. 16-1/8 inches (50.8 x 41 cm.)",Paintings,"Gift of Carolyn and Dr. Wesley Halpert, 1993"
Berg's Ship Yard,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/8 x 9 1/8 in. (15.6 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Aeroplane Synchromy in Yellow-Orange,Stanton Macdonald-Wright,American,1890,1973,1920,Oil on canvas,24 1/4 x 24 in. (61.6 x 61 cm),Paintings,"Alfred Stieglitz Collection, 1949"
Florida Seascape,William Baziotes,American,1912,1963,1945,"Gouache, ink, and watercolor on paper","H. 14-1/4, W. 19-3/4 inches (36.2 x 50.2 cm.)",Drawings,"George A. Hearn Fund, 1946"
"Design for 4 seat Phaeton, no top, no. 3390",Brewster,American,,,1878,"Pen and black ink, watercolor and guache with gum arabic",Sheet: 6 3/16 x 9 1/4 in. (15.7 x 23.5 cm),Drawings,"Gift of William Brewster, 1923"
General George Eliott,Mather Brown,American,1761,1831,1790,Oil on canvas,98 3/16 x 64 3/8 in. (249.4 x 163.5 cm),Paintings,"Purchase, 2003 Benefit Fund; Morris K. Jesup, Maria DeWitt Jesup, Dale T. Johnson, John Osgood and Elizabeth Amis Cameron Blanchard and Joel B. Leff Charitable Funds; Iola Haverstick, Dorothy Schwartz and David Hicks Gifts; and Gift of Alice and Evelyn Blight and Mrs. William Payne Thompson, by exchange, 2004"
Midnight,Alexander Shilling,American,1859,1937,1930?,Oil on canvas,18 3/8 x 24 1/2 in. (46.7 x 62.2 cm),Paintings,"Anonymous Gift, 1938"
Storm Clouds,Arthur Dove,American,1880,1946,1935,Wax emulsion on canvas in artist-made frame,15 x 21 1/8 in. (38.1 x 53.7 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Still Life,Mark Tansey,American,1949,,1982,Oil on canvas,"H. 62, W. 46 inches (157.5 x 116.8 cm.)",Paintings,"Purchase, Louis and Bessie Adler Foundation Inc. Gift (Seymour M. Klein, President), 1982"
Pigeon Walking in a Park,Gwen Thomas,American,1945,,1980,Oil on photograph on wood,"H. 24-7/8, W.18-7/8 inches (63 x 47.8 cm.)",Paintings,"Purchase, Mrs. Muriel Palitz Gift, 1980"
Warships in the Harbor,Joseph Pennell,American,1857,1926,1923?,"Watercolor, charcoal, and gouache on off-white wove paper",7 x 9 7/8 in. (17.8 x 25.1 cm),Drawings,"Gift of Bartlett Arkell, 1942"
"Cottage Garden, Warwick, England",Edmund Henry Garrett,American,1853,1929,,"Watercolor, gouache, and graphite on off-white wove paper",13 7/8 x 10 in. (35.2 x 25.4 cm),Drawings,"Gift of Mr. and Mrs. Stuart P. Feld, 1977"
White Abstraction,Arthur B. Carles,American,1882,1952,1935,Oil on canvas,"H. 39, W. 33 inches (99.1 x 83.8 cm.)",Paintings,"Gift of The Woodward Foundation, 1976"
1950-W,Clyfford Still,American,1904,1980,1950,Oil on canvas,"H. 69-3/4, W. 42 inches (177.2 x 106.7 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986"
Untitled (Four Figures),Nicolas Carone,American,1917,2010,1951?,"Enamel on paper, mounted on linen",21 1/4 x 18 1/4 in. (54 x 46.4 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Landscape No. 25,Marsden Hartley,American,1877,1943,1908-09?,Oil on commercially prepared paperboard,12 x 12 in. (30.5 x 30.5 cm),Paintings,"Alfred Stieglitz Collection, 1949"
"Sketch for the Curtain of ""L'Opera de Quat' Sous""",Eugene Berman,,1899,1972,1917,Gouache on paper,"H. 10-7/8, W. 15-3/4 inches (27.6 x 40 cm.)",Drawings,"Gift of Elisabeth I. Campbell Clarke, 1965"
Miss Ross,James Peale,American,1749,1831,1791,Watercolor on ivory,Sight: 2 x 1 9/16 in. (5.1 x 4 cm),Paintings,"Fletcher Fund, 1941"
The Reverend William Lupton Johnson,John Wood Dodge,,1807,1893,1834,Watercolor on ivory in gilded copper case; hair reserve verso,1 5/8 x 1 5/16 in. (4.2 x 3.3 cm),Paintings,"Gift of Gloria Manney, 2006"
Autumn Meadows,George Inness,American,1825,1894,1869,Oil on canvas,30 x 45 1/2 in. (76.2 x 115.6 cm),Paintings,"Gift of Walter Knight Sturges, 1974"
Painting,Charles Henry Alston,American,1907,1977,1950,Oil on canvas,"H. 50, W. 36 inches (127 x 91.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1951"
Castel San Elmo (from Cropsey Album),Attributed to Jasper Francis Cropsey,American,1823,1900,1848,"Graphite, white gouache, and watercolor on dark buff-colored wove paper",6 7/8 x 9 9/16 in. (17.5 x 24.3 cm),Drawings,"Purchase, Charles and Anita Blatt Gift, 1970"
A Window at Night,Anne Goldthwaite,American,1869,1944,1933?,Oil on canvas,44 x 26 1/4 in. (111.8 x 66.3 cm),Paintings,"George A. Hearn Fund, 1938"
Untitled (Drummer on Grey Ground),Robin Winters,American,1950,,1977,"Watercolor, gouache and graphite on paper","H. 10-7/8, W. 8-1/2 inches (25.4 x 20.3 cm.)",Drawings,"Purchase, Louis and Bessie Adler Foundation, Inc. Gift (Seymour M. Klein, President), 1988"
Repairing the Bridge,Robert Spencer,American,1879,1931,1913,Oil on canvas,29 7/8 x 35 5/8 in. (75.9 x 90.5 cm),Paintings,"George A. Hearn Fund, 1914"
Seated Nude,Walt Kuhn,American,1877,1949,1928,"Oil on cardboard, adhered to wood","H. 24-1/8, W. 19-3/4 inches (61.3 x 50.2 cm.)",Paintings,"Gift of Carl D. Lobell, 1995"
John Cox,Henry Williams,American,1787,1830,1810?,Watercolor on ivory in gold-colored metal locket with finial; hair reserve verso,2 17/32 x 2 1/16 in. (6.4 x 5.2 cm),Paintings,"Maria DeWitt Jesup Fund, 1985"
Fay Chandler,Ralph Hamilton,American,1946,,1983,Oil on mat board,"H. 30, w. 30 inches (76.2 x 76.2 cm.)",Drawings,"Purchase, Robert E. Grow Gift, 1985"
Where am I?,Enrique Martinez Celaya,,1964,,2003,Watercolor and gouache on paper,10 1/2 x 10 3/4 in. (26.7 x 27.3 cm),Drawings,"Gift of Dieter and Si Rosenkranz, 2003"
Black Iris,Georgia O'Keeffe,American,1887,1986,1926,Oil on canvas,36 x 29 7/8 in. (91.4 x 75.9 cm),Paintings,"Alfred Stieglitz Collection, 1969"
Spring Woods,Henry Ward Ranger,American,1858,1916,1900,Oil on canvas,28 1/4 x 36 in. (71.8 x 91.4 cm),Paintings,"Gift of George A. Hearn, 1906"
Union League,Wallace Morgan,American,1873,1948,,Charcoal and white gouache on off-white wove paper,18 3/4 x 20 in. (47.6 x 50.8 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1950"
