artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Great-Grand-Father's Tale of the Revolution鈥擜 Portrait of Reverend Zachariah Greene,William Sidney Mount,American,1807,1868,1852,1852,Oil on canvas,24 x 20 in. (61 x 50.8 cm),Paintings,1984,12de5c1d354e
William Wells Durkee,Helen Winslow Durkee,American,1880,1954,1905,1905,Watercolor on ivory,Sight: 3 13/16 x 2 7/8 in. (9.7 x 7.3 cm),Paintings,"Bequest of Helen Winslow Durkee Mileham, 1954",65acbb04a649
The Veteran in a New Field,Winslow Homer,American,1836,1910,1865,1865,Oil on canvas,24 1/8 x 38 1/8in. (61.3 x 96.8cm) Framed: 37 3/8 ?51 1/4 ?5 1/4 in. (94.9 ?130.2 ?13.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",08c93675e608
Fern and Peonies,Adelaide Milton de Groot,American,1876,1967,1949,1949,Oil on canvas,20 1/8 x 18 1/4 in. (51.1 x 46.4 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",e777107c00bf
"Three Saints (Alternate Study for Chapel Windows, Caldwell House, Newport)",John La Farge,American,1835,1910,1886,1887,"Watercolor and gouache on white wove paper mounted on gray pulpboard, with cut-out mat of off-white laid paper",4 3/4 x 5 1/2 in. (12.1 x 14 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",20c383508172
Lady of the Lake,Horace Pippin,American,1888,1946,1936,1936,Oil on canvas,20 1/2 x 36 in. (52.1 x 91.4 cm),Paintings,"Bequest of Jane Kendall Gingrich, 1982",fdf684a9fc23
Tomato,Joe Brainard,American,1942,1994,1975,1975,Gouache and watercolor on paper,"H. 4, W. 6 inches (10.2 x 15.2 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",4aa18546faef
Victory of Anghiari,Robert Goodnough,American,1917,2010,1967,1967,Oil and liquitex on canvas,"H. 58, W. 79 inches (147.3 x 200.7 cm.)",Paintings,"Anonymous Gift, 1969",6bd3523942fb
Big Table with Pomegranates,Nell Blaine,American,1922,1996,1978,1978,Oil on canvas,22 x 26in. (55.9 x 66cm) 24 5/8 x 28 5/8 x 3 1/8 in. (62.5 x 72.7 x 7.9 cm) (Frame),Paintings,"Gift of Arthur W. Cohen, 1985",6bb60746e595
Sea Cove,Albert Bierstadt,American,1830,1902,1880,1890,Oil on wood,14 x 19 in. (35.6 x 48.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",a38f37b8908d
Pasture at Evening,Formerly attributed to Albert Pinkham Ryder,American,1847,1917,1912,1932,Oil on canvas,12 x 16 in. (30.5 x 40.6 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",3ce9c7764184
"Black, White, and Gray",Franz Kline,American,1910,1962,1959,1959,Oil on canvas,"H. 105, W. 78 inches (266.5 x 198 cm.)",Paintings,"George A. Hearn Fund, 1959",fbf4055f3915
Portrait of Truman Capote (1925-1984),James Whitney Fosburgh,American,1910,1978,1971,1971,Oil on canvas,"H. 60, W. 36-1/8 inches (152.4 x 91.8 cm.)",Paintings,"Purchase, Mr. George Backer Gift, Mrs. Katherine Graham Gift, Mr. and Mrs. Henry J. Heinz II Gift, Mrs. Lawrence Lowman Gift, Joseph A. and Katherine S. Meehan Foundation, Inc. Gift, Mr. and Mrs. Edward M. M. Warburg Gift, 1972",ad79c1101526
Self-portrait,Frederick William MacMonnies,American,1863,1937,1904,1904,Oil on canvas,31 x 25 in. (78.7 x 63.5 cm),Paintings,"Purchase, Mrs. James W. Fosburgh Gift, 1967",5842dbe1408c
Panoramic View of the Palace and Gardens of Versailles,John Vanderlyn,American,1775,1852,1818,1819,Oil on canvas,12 x 165 ft. (3.6 x 49.5 m),Paintings,"Gift of the Senate House Association, Kingston, N.Y., 1952",3a3df2308121
"Spanish Peaks, Southern Colorado, Late Afternoon",Samuel Colman,American,1832,1920,1887,1887,Oil on canvas,31 1/8 x 72 1/4 in. (79.1 x 183.5 cm),Paintings,"Gift of H. O. Havemeyer, 1893",5fae5c71bed4
Artemis,Arthur B. Davies,American,1862,1928,1909,1909,Oil on canvas,16 1/8 x 13 1/8 in. (41 x 33.3 cm),Paintings,"Bequest of Joan Whitney Payson, 1975",037ea3da392d
Sunflowers,Edward McKnight Kauffer,American,1890,1954,1921,1921,Oil on canvas,"H. 36, W. 24 inches (91.4 x 61 cm.)",Paintings,"Purchase, The Mrs. Claus von Bulow Fund Gift, 1987",cf540b06b0d8
Mrs. John Cox (Esther Bowes),Charles Willson Peale,American,1741,1827,1778,1778,Watercolor on ivory in gold case,1 3/4 x 1 3/8 in. (4.4 x 3.5 cm),Paintings,"Gift of Gloria Manney, 2006",3dc0d70b0254
Alan Harriman,George de Forest Brush,American,1855,1941,1905,1905,Oil on canvas,56 3/4 x 37 5/16 in. (144.1 x 94.8 cm),Paintings,"Gift of General Boykin C. Wright, 1953",eaa199e792e0
Tommies Bathing,John Singer Sargent,American,1856,1925,1918,1918,"Watercolor, gouache, and graphite on white wove paper",13 5/8 x 20 15/16 in. (34.6 x 53.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",56e111439fa5
"Design Drawing for an ""Indian"" Wallpaper",Peter Todd Mitchell,American,1928,1988,1950,1950,Gouache on paper,"H. 22, W. 22 inches (55.9 x 55.9 cm)",Drawings,"Gift of Priscilla Cunningham, 1999",c9019f061415
William Jonas Keen,James Peale,American,1749,1831,1796,1796,Watercolor on ivory in gold locket,2 11/16 x 2 1/16 in. (6.8 x 5.2 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",17efc816e1ff
"Village on Lake Como: May 1, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",ec7e6bc8b876
The River,Leon Polk Smith,American,1906,1996,1961,1961,Oil on canvas,"H. 68, W. 68 inches (172.7 x 172.7 cm.)",Paintings,"Gift of Carol A. Goldberg, 1981",517096d6d425
Ice Around Governor's Island,Joseph Pennell,American,1857,1926,1923,1923,Watercolor and gouache on off-white wove paper,8 1/4 x 10 7/8 in. (21 x 27.6 cm),Drawings,"Gift of Bartlett Arkell, 1942",95fd71d879ac
Willow Pond,Catherine Wiley,American,1879,1958,1914,1914,Oil on canvas,36 1/4 x 34 in. (92.1 x 86.4 cm),Paintings,"Gift of Mr. and Mrs. John Ernest Wiley, 1972",8c901e7aa314
"Near Abiquiu, New Mexico",Georgia O'Keeffe,American,1887,1986,1930,1930,Oil on canvas,10 x 24 1/8 in. (25.4 x 61.3 cm),Paintings,"Alfred Stieglitz Collection, 1963",1d03735cfb70
Side of a Greenhouse,George Cochran Lambdin,American,1830,1896,1870,1880,Oil on canvas,40 x 32 in. (101.6 x 78.7 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",862df74a2c56
Ariadne,Asher Brown Durand,American,1796,1886,1831,1835,Oil on canvas,17 1/8 x 19 3/8 in. (43.5 x 49.2 cm),Paintings,"Gift of Samuel P. Avery, 1897",7768b9779761
Shrimp Scow on Barnegat Bay,Julian Levi,American,1900,1982,1939,1939,Oil on canvas,"H. 28, W. 34 inches (71.1 x 86.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1939",f96e24eb92c3
Samuel Verplanck,John Singleton Copley,American,1738,1815,1771,1771,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm) Framed: 39 3/16 x 34 1/2 x 2 3/4 in. (99.5 x 87.7 x 7 cm),Paintings,"Gift of James De Lancey Verplanck, 1939",eea817edc007
Number 7,Jackson Pollock,American,1912,1956,1952,1952,Enamel and oil on canvas,"H. 53-1/8, W. 40 inches (134.8 x 101.6 cm.)",Paintings,"Purchase, Emilio Azcarraga Gift, in honor of William S. Lieberman, 1987",cd7b0a055b2e
The Rock with Spiderweb Hair,Gerome Kamrowski,American,1914,2004,1943,1943,"Gouache, ink, casein, and wax crayon on paper","H. 33-1/4, W. 22-1/2 inches (84.5 x 57.2 cm.)",Drawings,"Purchase, Lila Acheson Wallace Gift, 1990",ad0fcfa16a32
Tragedy of the Sea,Louis Michel Eilshemius,American,1864,1941,1916,1916,Oil on board,40 1/2 x 61 1/4 in. (102.9 x 155.6 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",e377a20c6b43
The Creepers,Clarence Holbrook Carter,American,1904,2000,1935,1935,Oil on canvas,"H. 27, W. 32 inches (69.6 x 81.3 cm.)",Paintings,"George A. Hearn Fund, 1937",7839ddebb7ae
Rooftops of Paris,Leon Kroll,American,1884,1974,1923,1923,Oil on canvas,"H. 26, W. 32 inches (66 x 81.3 cm.)",Paintings,1983,28981a3c94de
Farm in Moonlight,Daniel Koerner,American,1910,1977,1938,1938,Gouache on paper,"H. 18, W. 20 inches (45.7 x 50.8 cm.)",Drawings,"Gift of New York City W. P. A., 1943",63891c7ebe4a
October,Kenneth Noland,American,1924,2010,1961,1961,Acrylic on canvas,94 1/4 x 92 1/4in. (239.4 x 234.3cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",ad563487621d
Silent Dawn,Walter Launt Palmer,American,1854,1932,1919,1919,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"George A. Hearn Fund, 1921",f9fb6cc99147
The Mission Tent,Jerome Myers,American,1867,1940,1906,1906,Oil on canvas,25 1/16 x 30 1/16 in. (63.7 x 76.4 cm),Paintings,"Rogers Fund, 1912",458af7bdc810
Third Avenue El,Hedda Sterne,American,1910,2011,1952,1953,Oil and spray enamel on canvas,"H. 40-3/8, W. 31-7/8 inches (102.6 x 81 cm.)",Paintings,"Gift of Mr. and Mrs. Daniel H. Silberberg, 1964",0941e5e9ec7c
"Mrs. Marinus Willett and Her Son Marinus, Jr.",John Vanderlyn,American,1775,1852,1802,1802,Oil on canvas,36 7/8 x 28 1/8 in. (93.7 x 71.4 cm),Paintings,"Bequest of George Willett Van Nest, 1916",0d2af3dba6a5
Canvas Confidential. A Backward Glance at the World of Art,Reit,American,1918,2001,1963,1963,Photoreproductions of original paintings,Overall: 9 1/16 x 9 1/16 in. (23 x 23 cm),Books,"Gift of A. Hyatt Mayor, 1976",e8db81fb699f
Woman Cutting Bread,Abraham Rattner,American,1893,1978,1946,1946,Oil on canvas,"H. 39, W. 32-1/8 inches (99 x 81.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",1cb01c75cf57
"Presentation drawing for ""Magnolia"" hanging shade",Louis Comfort Tiffany,American,1848,1933,1905,1915,"Watercolor, gouache, pastel, and graphite on off-white wove paper mounted on board",23 3/4 x 19 13/16 in. (60.4 x 50.4 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",befc9015b7c0
Signora Gomez d'Arza,Thomas Eakins,American,1844,1916,1901,192,Oil on canvas,30 x 24 in. (76.2 x 61 cm),Paintings,"George A. Hearn Fund, 1927",dccd8557a0e7
Winter Pool,Robert Rauschenberg,American,1925,2008,1959,1959,"Combine painting: oil, paper, fabric, wood, metal, sandpaper, tape, printed paper, printed reproductions, handheld bellows, and found painting, on two canvases, with ladder",89 1/2 x 58 1/2 x 4 in. (227.3 x 148.6 x 10.2 cm),Paintings,2005,891cd30fcb9c
William Smallwood,James Peale,American,1749,1831,1798,1798,Watercolor on ivory,2 3/4 x 2 1/16 in. (6.9 x 5.1 cm),Paintings,"Gift of Gloria Manney, 2006",6ea2b17d99be
Arcadia,Thomas Eakins,American,1844,1916,1883,1883,Oil on canvas,38 5/8 x 45 in. (98.1 x 114.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",1e194327aa90
Jean with Blue Book and Apple,George Bellows,American,1882,1925,1916,1916,Oil on plywood,"H. 21-1/2, W. 17-1/2 inches (54.6 x 44.4 cm.)",Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward Joseph Gallagher, Jr., 1957",0f31c668bb38
Portrait of Stephen Mazoh,Andy Warhol,American,1928,1987,1974,1974,Acrylic and silkscreen on canvas,40 1/8 x 40 1/8 in. (101.9 x 101.9 cm),Paintings,"Gift of Stephen Mazoh, 2004",9cdac2b0ef9a
"St. Paul's, London",Joseph Pennell,American,1857,1926,1905,1914,Watercolor and gouache on off-white wove paper,9 1/4 x 14 1/8 in. (23.5 x 35.9 cm),Drawings,"Rogers Fund, 1924",48198b03074b
The Doll and the Monster,Guy P猫ne du Bois,American,1884,1958,1914,1914,Oil on wood,"H. 20, W. 15 inches (50.8 x 38.1 cm.)",Paintings,"Gift of Mr. Harry Payne Whitney, 1921",60ba72f5adba
"Behind Dunes, Lake Ontario",Homer Dodge Martin,American,1836,1897,1883,1887,Oil on canvas,36 x 60 1/2 in. (91.4 x 153.7 cm),Paintings,"Gift of George A. Hearn, 1906",454e94c0cfdc
The Flesh Eaters,William Baziotes,American,1912,1963,1952,1952,Oil and charcoal on canvas,60 x 72 1/8 in. (152.4 x 183.2 cm),Paintings,1995,62906b14e6e4
"Design for the Washington Centennial Celebration, Souvenir",Edwin Howland Blashfield,American,1848,1936,1889,1889,Oil on canvas board,20 x 16 in. (50.8 x 40.6 cm),Paintings,"Gift of Henry G. Marquand, 1890",f7773f9a9e22
Lady in Gray,James McNeill Whistler,American,1834,1903,1883,1883,Watercolor and gouache on dark brown wove paper,11 1/4 x 5 in. (28.6 x 12.7 cm),Drawings,"Rogers Fund, 1906",7f7af1b1928e
Stay Ahead of the Game,Joe Brainard,American,1942,1994,1975,1975,"Cut and pasted printed paper, ink markers, graphite, and gouache on paper","H. 32-1/2, W. 54-1/8 inches (82.6 x 137.5 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",10e8544d8f6d
"Untitled, Number 19",John Ferren,American,1905,1970,1934,1934,Oil with sand on canvas,"H. 31-3/4, W. 39 inches (80.6 x 99.1 cm.)",Paintings,"Gift of Jerry Leiber, 1985",ed8f87c520dd
"The Dark Mountain, No. 1",Marsden Hartley,American,1877,1943,1909,1909,Oil on commercially prepared paperboard,14 x 12 1/8 in. (35.6 x 30.8 cm),Paintings,"Alfred Stieglitz Collection, 1949",9fcda463d470
"[Barn with Porch Addition, Old Lyme, Connecticut]",Walker Evans,American,1903,1975,September,1963,Tempera on panel,40.6 x 50.8 cm (16 x 20 in. ),Paintings,"Walker Evans Archive, 1994",e638385a450a
Polly,Eugene Speicher,American,1883,1962,1927,1927,Oil on canvas,"H. 43, W. 36 inches (109.2 x 91.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1928",568ae81e1c50
Eros,Helen Frankenthaler,American,1928,2011,1988,1988,Acrylic on canvas,"H. 34-3/4, W. 35-1/4 inches (88.3 x 89.5 cm.)",Paintings,"Gift of Barbaralee Diamonstein and Carl Spielvogel, 1995",78c280fd2795
"Lake Como, May 3, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",0d1a41d0c87c
Textural Space,Lois Bartlett Tracy,American,1901,2008,1947,1947,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of the artist, 1993",1e76b0698ac2
Close-Up III,Philip Guston,American,1913,1980,1961,1961,Oil on canvas,"H. 70, W. 72 inches (177.8 x 182.9 cm.)",Paintings,"Gift of Lee V. Eastman, 1972",d60364253ac5
Still Life,Priscilla Roberts,American,1916,2001,1938,1938,Oil on wood,"H. 9-7/8, W. 14 inches (25.1 x 35.6 cm.)",Paintings,"Gift of Matthew F. Moran, 1966",f0b3b6eacd6d
Plumage,Priscilla Roberts,American,1916,2001,1948,1949,Oil on Masonite,"H. 36, W. 20-1/2 inches (91.4 x 52.1 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",a3de6b4f26fe
Delaware Water Gap Village,Louis Michel Eilshemius,American,1864,1941,1895,1900,Oil on canvas,18 x 35 1/8 in. (45.7 x 89.2 cm),Paintings,"Arthur Hoppock Hearn Fund, 1932",f5697135c592
Mrs. Katherine Matthews,Thomas Sully,American,1783,1872,1812,1813,Oil on canvas,27 1/2 x 23 in. (69.9 x 58.4 cm),Paintings,"Rogers Fund, 1906",1559a63e8ef4
Forging the Shaft,John Ferguson Weir,American,1841,1926,1874,1877,Oil on canvas,52 x 73 1/4 in. (132.1 x 186.1 cm),Paintings,"Purchase, Lyman G. Bloomingdale Gift, 1901",ed7d29cf7c43
A View near Tivoli (Morning),Thomas Cole,American,1801,1848,1832,1832,Oil on canvas,14 3/4 x 23 1/8 in. (37.5 x 58.7 cm),Paintings,"Rogers Fund, 1903",2979ca68101b
A Curve in the Road,Houghton Cranford Smith,American,1887,1983,1916,1920,Oil on canvas,"H. 9-3/4, W. 7-3/4 inches (24.8 x 19.7 cm.)",Paintings,1991,a0c26779af0c
The Calumny of Apelles,John Vanderlyn,American,1775,1852,1849,1849,Oil on canvas,22 1/2 x 28 1/2 in. (57.2 x 72.4 cm),Paintings,"Gift of the family of General George H. Sharpe, 1924",a7e7f9be1996
"Bar Harbor, Twilight",John La Farge,American,1835,1910,1896,1896,Watercolor and gouache on off-white wove paper,7 3/4 x 10 3/8 in. (19.7 x 26.4 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",78ca261e858f
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, black ink, and graphite on paper mounted on board in original shaped matt",Overall: 23 9/16 x 9 1/2 in. (59.8 x 24.1 cm) Other (Design): 17 1/2 x 5 3/16 in. (44.5 x 13.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",c738dac42102
Martin Van Buren,Henry Inman,American,1801,1846,1837,1838,Oil on canvas,30 3/4 x 25 1/2 in. (78.1 x 64.8 cm),Paintings,"Gift of Mrs. Jacob H. Lazarus, 1893",06c05eb33347
Black Place II,Georgia O'Keeffe,American,1887,1986,1944,1944,Oil on canvas,23 7/8 x 30 in. (60.6 x 76.2 cm),Paintings,"Alfred Stieglitz Collection, 1959",497e40c6ab4c
Caught in the Equinox,Attilio Salemme,American,1911,1955,1953,1953,Oil on canvas,"H. 52, W. 80 inches (132.1 x 203.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1953",4a610cd6d916
Portrait of a Gentleman,John Carlin,American,1813,1891,1850,1850,Watercolor on ivory,1 5/16 x 1 in. (3.3 x 2.5 cm),Paintings,"Gift of Gloria Manney, 2006",c1685810f8ec
Design for wall lantern,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Graphite, colored pencil, and gouache on tissue mounted on heavy paper",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 14 11/16 x 9 in. (37.3 x 22.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",36d340ba7d2c
"Montmorency Falls, Canada",John Mackie Falconer,American,1820,1903,1850,1850,"Watercolor, gouache, and graphite on light brown wove paper",13 15/16 x 9 7/8 in. (35.4 x 25.1 cm),Drawings,"Gift of Mr. and Mrs. Stuart P. Feld, 1972",001082f5f9ed
Girl in White and Silver,Walt Kuhn,American,1877,1949,1943,1943,Oil on canvas,"H. 40, W. 30-1/4 inches (101.6 x 76.8 cm.)",Paintings,"George A. Hearn Fund, 1950",de2b5adf4982
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on paper mounted on board in original matt",Overall: 20 3/16 x 9 1/2 in. (51.3 x 24.1 cm) Other (Design): 19 1/4 x 3 5/8 in. (48.9 x 9.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",43aae132be53
Land and Water (No. 1),John Singer Sargent,American,1856,1925,1905,1960s,Watercolor and gouache on white wove paper,7 x 10 in. (17.8 x 25.4 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",b3253df48389
City Watchman,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/8 in. (15.6 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",3ccb532e9ec9
Gloucester Docks,John Lonergan,American,1896,1969,1940,1940,Gouache and ink on paper,"H. 11-1/2, W. 16 inches (29.2 x 40.6 cm.)",Drawings,"George A. Hearn Fund, 1941",118741ba1a3f
Winter at Portland,Allen Tucker,American,1866,1939,1907,1907,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Gift of the Allen Tucker Memorial, 1966",c35a7c6c4627
Arcana,Nicolas Carone,American,1917,2010,1959,1959,Oil on canvas,"H. 60-1/4, W. 75-1/4 inches (153 x 190.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1959",da5d3e70b8e1
Henry Rice,Gilbert Stuart,American,1755,1828,1815,1815,Oil on wood,26 1/2 x 21 1/2 in. (67.3 x 54.6 cm),Paintings,"Purchase, 1896",a0e0c70589f8
Abstraction,Alfred Maurer,American,1868,1932,1925,1930,"Gouache on paper, mounted on board","H. 22, W. 18 inches (35.9 x 45.7 cm.)",Drawings,"Gift of Dr. and Mrs. Robert E. Carroll, 1988",e8bc1064ba93
Nourmahal,Formerly attributed to Albert Pinkham Ryder,American,1847,1917,1924,1924,Oil on wood,19 1/2 x 28 1/2 in. (49.5 x 72.3 cm),Paintings,"Morris K. Jesup Fund, 1932",2c1bd38a540d
"Dust Storm, Fifth Avenue",John Sloan,American,1871,1951,1906,1906,Oil on canvas,22 x 27 in. (55.9 x 68.6 cm),Paintings,"George A. Hearn Fund, 1921",b10f2e9212a4
Long Island Farmhouses,William Sidney Mount,American,1807,1868,1862,1863,Oil on canvas,21 7/8 x 29 7/8 in. (55.6 x 75.9 cm),Paintings,"Gift of Louise F. Wickham, in memory of her father, William H. Wickham, 1928",21ddd296f2c1
Courtlandt Palmer,Albert Herter,American,1871,1950,1906,1906,Oil on canvas,36 x 22 3/8 in. (91.4 x 56.8 cm),Paintings,"Gift of Courtlandt Palmer, 1950",2e157e52d9ff
The Quadroon,George Fuller,American,1822,1884,1880,1880,Oil on canvas,50 1/2 x 40 1/2 in. (128.3 x 102.9 cm),Paintings,"Gift of George A. Hearn, 1910",ec4156882534
"Village, Mountains, and Lake [Maggiore?] (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, and watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",5d147a073143
Athlete and Dancer,Arthur B. Davies,American,1862,1928,1895,1897,Oil on canvas,17 x 22 in. (43.2 x 55.9 cm),Paintings,"Bequest of George D. Pratt, 1935",f668701fadcf
1943-A,Clyfford Still,American,1904,1980,1943,1943,Oil on cloth,"H. 36-1/4, W. 30-1/4 inches (92.1 x 76.8 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986",a318d45d44eb
View in a Haze,Fairfield Porter,American,1907,1975,1973,1973,Oil on pressboard,"H. 22, W. 18 inches (55.9 x 45.7 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",c6e2ab845007
Number 28 (Still Life),Albert Eugene Gallatin,American,1881,1952,1940,1940,Oil on canvas,"H. 24-1/8, W. 20-1/8 inches (61.3 x 51.1 cm.)",Paintings,"Gift of Jerry Leiber, 1985",e14b3a9a95f4
Headland,Allen Tucker,American,1866,1939,1931,1931,Oil on canvas,30 x 36 1/8 in. (76.2 x 91.8 cm),Paintings,"Arthur Hoppock Hearn Fund, 1932",5f7e0e1f50e9
"The Towers of St. Martin, Tours",Joseph Pennell,American,1857,1926,1899,1899,"Watercolor, black crayon, and white gouache on off-white laid paper",10 1/8 x 6 7/8 in. (25.7 x 17.5 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",4490a8b571e9
